============================================================
                       ES Training                       
============================================================
[09:47:12] out_dir=training_history_20260630_094712
[09:47:12] params=553,053
[09:47:12] seed=42
[09:47:12] pop_size=48
[09:47:12] sigma=0.3
[09:47:12] lr=0.1
[09:47:12] workers=16
[09:47:12] games_per_ind=6
[09:47:12] generations=200
[09:47:12] opponents=random from population (self-play)
------------------------------------------------------------
[09:47:12] mode=synthetic test
[09:47:12] init_dist_to_target=9.2390
gen=gen  best=best_fit  avg=avg_fit  eval_s=eval(s)  total_s=total(s)  dist=dist_to_target
gen=194  best=0.0983  avg=0.0914  eval_s=2.1  total_s=2.6  dist=3.03
gen=195  best=0.0956  avg=0.0911  eval_s=2.1  total_s=2.6  dist=3.02
gen=196  best=0.0974  avg=0.0915  eval_s=2.1  total_s=2.6  dist=3.00
gen=197  best=0.0956  avg=0.0915  eval_s=2.1  total_s=2.6  dist=2.98
gen=198  best=0.0947  avg=0.0910  eval_s=2.1  total_s=2.5  dist=2.98
gen=199  best=0.0959  avg=0.0912  eval_s=2.1  total_s=2.6  dist=2.98
[09:55:56] checkpoint=training_history_20260630_094712\gen_0200.pt
============================================================
[09:55:56] best_fitness=0.0959
[09:55:56] avg_fitness=0.0912
[09:55:56] final_dist_to_target=2.9822
[09:55:56] dist_reduction=3.1x
[09:55:56]   ⚠️  ES did NOT converge; check hyperparameters.
[09:55:56] history=training_history_20260630_094712\history.csv
[09:55:56] Done.
